代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPTAUUSDOZ.IDC,伦敦金现,2026-02-20,4998.47,5111.125,4981.2,5111.125,0.0222,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-02-23,5108.14,5237.84,5097.72,5225.66,0.0224,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-02-24,5221.486,5249.872,5092.54,5132.01,-0.0179,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-02-25,5143.03,5217.7,5120.409,5164.31,0.0063,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-02-26,5160.5,5205.472,5129.495,5181.245,0.0033,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-02-27,5184.104,5281.327,5166.43,5278.26,0.0187,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-02,5281.53,5419.32,5260.03,5321.43,0.0082,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-03,5322.676,5379.867,4995.475,5088.33,-0.0438,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-04,5101.117,5206.138,5083.21,5120.543,0.0063,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-05,5139.799,5194.953,5050.638,5084.69,-0.007,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-06,5084.079,5177.059,5062.01,5168.006,0.0164,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-09,5162.352,5197.868,5013.96,5139.57,-0.0055,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-10,5142.319,5238.623,5116.94,5190.097,0.0098,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-11,5186.957,5223.22,5148.81,5182.875,-0.0014,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-12,5177.659,5191.77,5054.24,5077.94,-0.0202,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-13,5078.636,5128.43,5009.32,5018.098,-0.0118,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-16,5003.18,5038.112,4966.12,5003.82,-0.0028,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-17,5007.38,5044.53,4973.23,5006.63,0.0006,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-18,5006.06,5016.41,4806.59,4813.533,-0.0386,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-19,4828.6,4867.186,4502.01,4650.503,-0.0339,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-20,4652.24,4736.48,4477.11,4491.67,-0.0342,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-23,4468.254,4536.37,4098.25,4407.35,-0.0188,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-24,4417.11,4484.24,4305.32,4472.02,0.0147,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-25,4471.24,4602.631,4455.258,4505.31,0.0074,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-26,4526.61,4544.42,4350.52,4379.82,-0.0279,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-27,4380.434,4555.51,4369.6,4493.358,0.0259,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-30,4493.15,4580.78,4417.665,4513.52,0.0045,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-03-31,4513.744,4687.34,4481.89,4669.13,0.0345,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-01,4674.77,4793.135,4661.6,4758.255,0.0191,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-02,4758.5,4800.46,4553.158,4676.86,-0.0171,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-06,4648.41,4706.75,4600.05,4647.825,-0.0062,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-07,4658.85,4718.742,4606.79,4701.4,0.0115,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-08,4721.83,4857.55,4699.235,4719.35,0.0038,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-09,4719.45,4801.25,4698.05,4763.45,0.0093,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-10,4763.366,4795.1,4730.205,4746.898,-0.0035,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-13,4683.18,4750.14,4638.01,4742.58,-0.0009,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-14,4744.71,4846.35,4742.3,4842.47,0.0211,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-15,4840.751,4871.52,4785.89,4797.693,-0.0092,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-16,4790.322,4838.41,4772.35,4787.431,-0.0021,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-17,4792.63,4890.967,4767.05,4837.49,0.0105,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-20,4792.17,4827.63,4736.39,4822.293,-0.0031,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-21,4822.35,4833.231,4667.68,4719.7,-0.0213,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-22,4721.952,4772.307,4714.86,4739.53,0.0042,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-23,4744.37,4753.819,4663.58,4704.743,-0.0073,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-24,4705.27,4740.32,4657.485,4708.62,0.0008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-27,4703.69,4730.19,4666.62,4681.53,-0.0058,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-28,4684.8,4701.28,4554.35,4596.44,-0.0182,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-29,4599.96,4610.447,4509.875,4547.803,-0.0106,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-04-30,4545.54,4646.95,4538.52,4621.34,0.0162,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-01,4624.23,4660.28,4559.93,4614.22,-0.0015,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-04,4631.13,4639.01,4499.92,4521.19,-0.0202,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-05,4524.69,4586.543,4513.25,4555.608,0.0076,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-06,4560.42,4723.085,4545.55,4691.14,0.0298,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-07,4696.16,4764.73,4684.103,4684.78,-0.0014,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-08,4687.8,4749.39,4672.74,4713.56,0.0061,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-11,4686.15,4748.61,4647.71,4735.45,0.0046,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-12,4734.26,4773.58,4637.96,4714.28,-0.0045,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-13,4712.9,4727.09,4669.38,4687.65,-0.0056,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-14,4688.717,4718.95,4643.153,4649.5,-0.0081,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-15,4653.8,4665.36,4511.215,4539.39,-0.0237,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-18,4541.9,4585.03,4480.01,4566.39,0.0059,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-19,4566.168,4589.37,4464.4,4481.6,-0.0186,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-20,4478.45,4552.81,4453.0,4543.09,0.0137,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-21,4539.47,4570.89,4488.22,4542.57,-0.0001,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-22,4542.56,4546.0,4491.578,4508.93,-0.0074,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-25,4531.86,4580.013,4518.32,4568.069,0.0131,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-26,4569.051,4580.27,4482.24,4507.02,-0.0134,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-27,4510.15,4539.6,4401.13,4455.9,-0.0113,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-28,4455.95,4516.65,4365.85,4495.83,0.009,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-05-29,4497.82,4595.35,4488.62,4538.16,0.0094,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-01,4540.3,4546.106,4447.22,4484.66,-0.0118,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-02,4486.85,4541.538,4462.55,4491.52,0.0015,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-03,4489.96,4496.733,4425.98,4434.45,-0.0127,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-04,4437.62,4515.43,4423.31,4474.51,0.009,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-05,4475.917,4481.46,4311.09,4328.92,-0.0325,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-08,4330.21,4353.5,4268.02,4329.718,0.0002,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-09,4331.185,4363.54,4236.28,4260.82,-0.0159,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-10,4252.03,4257.49,4066.49,4071.67,-0.0444,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-11,4070.485,4220.18,4023.1,4212.22,0.0345,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-12,4209.03,4246.566,4169.88,4218.97,0.0016,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-15,4269.138,4369.45,4260.917,4309.56,0.0215,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-16,4309.62,4355.08,4305.21,4330.98,0.005,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-17,4331.52,4382.45,4218.42,4258.77,-0.0167,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-18,4257.81,4330.01,4201.14,4219.485,-0.0092,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-19,4210.07,4213.436,4121.43,4157.808,-0.0146,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-22,4143.47,4221.13,4136.07,4180.87,0.0055,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-23,4192.59,4198.44,4090.5,4112.07,-0.0165,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-24,4111.53,4115.057,3958.81,3991.7,-0.0293,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-25,4004.27,4044.29,3962.09,4023.77,0.008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-26,4011.65,4096.73,3982.53,4088.87,0.0162,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-29,4088.44,4088.44,3999.896,4015.9,-0.0178,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-30,4017.68,4063.42,3942.43,4007.49,-0.0021,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-01,4011.62,4115.675,3959.84,4030.758,0.0058,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-02,4036.05,4144.15,4030.29,4122.41,0.0227,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-03,4124.478,4195.65,4120.74,4174.189,0.0126,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-06,4188.105,4203.21,4127.96,4164.383,-0.0023,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-07,4164.358,4180.46,4091.88,4105.495,-0.0141,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-08,4097.63,4134.02,4021.52,4074.45,-0.0076,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-09,4077.52,4138.09,4053.87,4123.55,0.0121,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-10,4124.9,4134.84,4071.86,4120.345,-0.0008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-13,4098.33,4103.577,3986.29,4001.3,-0.0289,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-14,4000.23,4103.78,3983.22,4053.61,0.0131,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-15,4052.53,4081.5,4017.16,4060.0,0.0016,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-16,4064.353,4068.58,3968.92,3977.41,-0.0203,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-17,3977.71,4024.12,3959.37,4018.44,0.0103,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-20,4001.71,4040.808,3982.32,4008.08,-0.0026,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-21,4010.15,4087.43,3999.51,4077.28,0.0173,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-22,4082.3,4166.07,4075.358,4131.09,0.0132,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-23,4122.592,4141.05,4040.01,4049.34,-0.0198,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-24,4049.75,4082.14,4021.77,4052.6,0.0008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-27,4090.048,4116.43,4065.1,4077.465,0.0061,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-28,4079.474,4082.617,4011.25,4028.3,-0.0121,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-29,4026.91,4116.46,3995.82,4067.575,0.0097,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-30,4068.59,4120.28,4028.12,4102.72,0.0086,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-31,4106.24,4111.79,4020.76,4041.18,-0.015,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-08-03,4077.78,4083.14,4047.09,4057.44,0.004,0.0,0.0
